MEASURED annihilation row count (committed D112 array): 120

=== Probe 2 census (0 of 120 rows measured) ===
split: none-within-650 0 | STEADY-within-650 (SHOULD BE EMPTY) 0 | only-non-STEADY-within-650 0
FRACTION with >=1 non-STEADY friendly within 650: 0/0

=== Probe 1 leg attribution (matched by committed composite alone) ===
pair: breach 18760617 (55.5708) vs match 18760600 (54.7161)
pair: breach 18760626 (52.7930) vs match 18760620 (52.7930)
pair: breach 18760635 (49.1606) vs match 18760622 (49.1606)

--- seed 18760617 legs ---
C1 | cp-scouts-crows-nest | scope=included | passed=true
C4 | obs-scouts-pony-herd | scope=included | passed=true
C4 | obs-custer-crows-nest-haze | scope=included | passed=true
C4 | obs-warriors-divide-column | scope=included | passed=true
C4 | obs-reno-village-hunkpapa | scope=included | passed=true
C4 | obs-reno-village-oglala | scope=included | passed=true
C4 | obs-reno-village-minneconjou | scope=included | passed=true
C4 | obs-reno-village-sans-arc | scope=included | passed=true
C4 | obs-reno-village-mixed-north | scope=included | passed=true
C4 | obs-reno-village-cheyenne | scope=included | passed=true
C4 | obs-custer-weir-village | scope=included | passed=false
C4 | obs-village-reno-advance | scope=included | passed=true
C4 | obs-cheyenne-custer-column | scope=included | passed=false
C4 | obs-reno-hill-volleys | scope=included | passed=true
C4 | obs-weir-custer-field | scope=included | passed=true

--- seed 18760622 legs ---
C1 | cp-scouts-crows-nest | scope=included | passed=true
C1 | cp-reno-ford-a | scope=included | passed=true
C1 | cp-reno-skirmish-line | scope=included | passed=false
C1 | cp-reno-timber | scope=included | passed=false
C1 | cp-reno-hill | scope=included | passed=false
C1 | cp-yates-ford-b | scope=included | passed=true
C1 | cp-right-wing-calhoun | scope=included | passed=false
C1 | cp-keogh-sector | scope=included | passed=false
C1 | cp-custer-last-stand | scope=included | passed=true
C1 | cp-weir-point | scope=included | passed=true
C2 | us-7th-cavalry:killed | scope=included | passed=false
C2 | us-7th-cavalry:wounded | scope=included | passed=false
C2 | lakota-cheyenne-coalition:killed | scope=included | passed=false
C2 | lakota-cheyenne-coalition:wounded | scope=included | passed=false
C2 | flagship:co-c | scope=included | passed=false
C2 | flagship:co-e | scope=included | passed=true
C2 | flagship:co-f | scope=included | passed=true
C2 | flagship:co-i | scope=included | passed=true
C2 | flagship:co-l | scope=included | passed=true
C3 | co-c:DESTROYED:840 | scope=included | passed=false
C3 | co-e:DESTROYED:840 | scope=included | passed=false
C3 | co-f:DESTROYED:840 | scope=included | passed=false
C3 | co-i:DESTROYED:840 | scope=included | passed=false
C3 | co-l:DESTROYED:840 | scope=included | passed=false
C3 | co-a:HOLDING_AT:1080 | scope=included | passed=true
C3 | co-g:HOLDING_AT:1080 | scope=included | passed=true
C3 | co-m:HOLDING_AT:1080 | scope=included | passed=false
C3 | co-h:HOLDING_AT:1080 | scope=included | passed=false
C3 | co-d:HOLDING_AT:1080 | scope=included | passed=true
C3 | co-k:HOLDING_AT:1080 | scope=included | passed=false
C3 | co-b:HOLDING_AT:1080 | scope=included | passed=false
C3 | pack-train:HOLDING_AT:1080 | scope=included | passed=true
C4 | obs-scouts-pony-herd | scope=included | passed=true
C4 | obs-custer-crows-nest-haze | scope=included | passed=true
C4 | obs-warriors-divide-column | scope=included | passed=true
C4 | obs-reno-village-hunkpapa | scope=included | passed=true
C4 | obs-reno-village-oglala | scope=included | passed=true
C4 | obs-reno-village-minneconjou | scope=included | passed=true
C4 | obs-reno-village-sans-arc | scope=included | passed=true
C4 | obs-reno-village-mixed-north | scope=included | passed=true
C4 | obs-reno-village-cheyenne | scope=included | passed=true
C4 | obs-custer-weir-village | scope=included | passed=false
C4 | obs-village-reno-advance | scope=included | passed=true
C4 | obs-cheyenne-custer-column | scope=included | passed=false
C4 | obs-reno-hill-volleys | scope=included | passed=true
C4 | obs-weir-custer-field | scope=included | passed=true
